"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","Ace","1",4749.78,219.22,3,3913.36,289.84,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",4749.78,3913.36,219.22,289.84,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","Ace","1",2486.51,118.19,3,3913.36,289.84,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",2486.51,3913.36,118.19,289.84,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","Ace","1",4030.03,209.83,3,3913.36,289.84,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",4030.03,3913.36,209.83,289.84,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","Chao","1",3745.78,257.88,3,3390.68,259.93,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",3745.78,3390.68,257.88,259.93,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","Chao","1",4550.08,193.88,3,3390.68,259.93,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",4550.08,3390.68,193.88,259.93,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","Chao","1",4585.84,197.63,3,3390.68,259.93,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",4585.84,3390.68,197.63,259.93,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","Chao","1",2451.61,111.52,3,3390.68,259.93,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",2451.61,3390.68,111.52,259.93,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","Chao","1",3908.2,191.35,3,3390.68,259.93,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",3908.2,3390.68,191.35,259.93,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","Shannon","1",6.55,0.4,3,6.53,0.13,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",6.55,6.53,0.4,0.13,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","Shannon","1",6.99,0.06,3,6.53,0.13,3,"Mean±value","No","±Value, tpyes not specified, assuming SD",6.99,6.53,0.06,0.13,"0-20",0,20,10,"0-10","0_10"
